A,B
2020-02-24,132.109286752102
2020-02-25,152.913638163816
2020-02-26,176.953413028192
2020-02-27,204.717970936537
2020-02-28,236.766038385226
2020-02-29,273.733974030904
2020-03-01,316.344477838755
2020-03-02,365.415558291412
2020-03-03,421.869475964962
2020-03-04,486.741258457778
2020-03-05,561.186227044442
2020-03-06,646.485787091999
2020-03-07,744.050512607237
2020-03-08,855.419305504528
2020-03-09,982.253145041052
2020-03-10,1126.32168593314
2020-03-11,1289.48075295016
2020-03-12,1473.63867093
2020-03-13,1680.70943700132
2020-03-14,1912.55107824334
2020-03-15,2170.88824375372
2020-03-16,2457.21924731899
2020-03-17,2772.70946113904
2020-03-18,3118.0751428921
2020-03-19,3493.46432027852
2020-03-20,3898.34396764951
2020-03-21,4331.404933644
2020-03-22,4790.49733717379
2020-03-23,5272.60883891305
2020-03-24,5773.8958537607
2020-03-25,6289.7732642358
2020-03-26,6815.06187912348
2020-03-27,7344.18563855328
2020-03-28,7871.40368161455
2020-03-29,8391.05726087443
2020-03-30,8897.80923253738
2020-03-31,9386.85498399575
2020-04-01,9854.08792336259
2020-04-02,10296.2090999431
2020-04-03,10710.7778035479
2020-04-04,11096.2067420012
2020-04-05,11451.7105784859
2020-04-06,11777.2196885931
2020-04-07,12073.2719528905
2020-04-08,12340.8946070596
2020-04-09,12581.4862043117
2020-04-10,12796.7062061114
2020-04-11,12988.3771113801
2020-04-12,13158.4017086708
2020-04-13,13308.6961766141
2020-04-14,13441.1384197339
2020-04-15,13557.530174557
2020-04-16,13659.5709712717
2020-04-17,13748.8418887361
2020-04-18,13826.7970992179
2020-04-19,13894.7613827892
2020-04-20,13953.932037713
2020-04-21,14005.3838788176
2020-04-22,14050.0762727
2020-04-23,14088.8613906434
2020-04-24,14122.4930599456
2020-04-25,14151.6357601694
2020-04-26,14176.8734443199
2020-04-27,14198.7179695967
2020-04-28,14217.617002406
2020-04-29,14233.9613220415
2020-04-30,14248.0914908617
