A,B
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,16.7500087369909
2020-03-02,16.7500087369909
2020-03-03,16.7500087369909
2020-03-04,16.7500087369909
2020-03-05,16.7500087369909
2020-03-06,16.7500087369909
2020-03-07,16.7500087369909
2020-03-08,16.7500087369909
2020-03-09,16.7500087369909
2020-03-10,16.7500087369909
2020-03-11,16.7500087369909
2020-03-12,16.7500087369909
2020-03-13,16.7500087369909
2020-03-14,16.7500087369909
2020-03-15,16.7500087369909
2020-03-16,16.7500087369909
2020-03-17,16.7500087369909
2020-03-18,16.7500087369909
2020-03-19,16.7500087369909
2020-03-20,16.7500087369909
2020-03-21,16.7500087369909
2020-03-22,16.7500087369909
2020-03-23,16.7500087369909
2020-03-24,16.7500087369909
2020-03-25,16.7500087369909
2020-03-26,16.7500087369909
2020-03-27,16.7500087369909
2020-03-28,16.7500087369909
2020-03-29,16.7500087369909
2020-03-30,16.7500087369909
2020-03-31,16.7500087369909
2020-04-01,16.7500087369909
2020-04-02,16.7500087369909
2020-04-03,16.7500087369909
2020-04-04,16.7500087369909
2020-04-05,16.7500087369909
2020-04-06,16.7500087369909
2020-04-07,16.7500087369909
2020-04-08,16.7500087369909
2020-04-09,16.7500087369909
