A,B
2020-02-24,411.738786315353
2020-02-25,516.086025452506
2020-02-26,646.612116391303
2020-02-27,809.733854453829
2020-02-28,1013.35561661206
2020-02-29,1267.16624224315
2020-03-01,1582.96784009628
2020-03-02,1975.02302542976
2020-03-03,2460.39438799243
2020-03-04,3059.23138276986
2020-03-05,3794.93427595271
2020-03-06,4694.09242661199
2020-03-07,5786.05791794778
2020-03-08,7101.98319153733
2020-03-09,8673.13817589991
2020-03-10,10528.3526368025
2020-03-11,12690.5336606737
2020-03-12,15172.412532218
2020-03-13,17971.9799664794
2020-03-14,21068.4191209992
2020-03-15,24419.6144151449
2020-03-16,27962.3222262054
2020-03-17,31615.6910877351
2020-03-18,35288.0229875028
2020-03-19,38885.7119255451
2020-03-20,42322.5788502624
2020-03-21,45527.6859772347
2020-03-22,48450.2265559337
2020-03-23,51060.9962805084
2020-03-24,53350.8536899866
2020-03-25,55327.148610418
2020-03-26,57009.2414190923
2020-03-27,58424.049834114
2020-03-28,59602.2230380653
2020-03-29,60575.2093198572
2020-03-30,61373.2363370599
2020-03-31,62024.0809575954
2020-04-01,62552.4494669579
2020-04-02,62979.7880379029
2020-04-03,63324.3703362421
2020-04-04,63601.5451382246
2020-04-05,63824.0613269882
2020-04-06,64002.4160545922
2020-04-07,64145.1931745561
2020-04-08,64259.3739661418
2020-04-09,64350.6120013825
2020-04-10,64423.4701042902
2020-04-11,64481.6208694526
2020-04-12,64528.0140267405
2020-04-13,64565.0146933585
2020-04-14,64594.5166766803
2020-04-15,64618.0347649069
2020-04-16,64636.7795464329
