A,B
2020-02-24,13.6128352507911
2020-02-25,15.9023873860535
2020-02-26,18.5749140728105
2020-02-27,21.6937090109646
2020-02-28,25.3322479391746
2020-02-29,29.5757255056926
2020-03-01,34.5227871175329
2020-03-02,40.287466503998
2020-03-03,47.0013342689098
2020-03-04,54.8158541402782
2020-03-05,63.9049308972345
2020-03-06,74.4676157647096
2020-03-07,86.7309098855203
2020-03-08,100.952572589677
2020-03-09,117.423796798912
2020-03-10,136.471557418989
2020-03-11,158.460368949456
2020-03-12,183.793105963401
2020-03-13,212.910446910147
2020-03-14,246.288403608548
2020-03-15,284.433306510564
2020-03-16,327.873546599335
2020-03-17,377.147353849494
2020-03-18,432.785952954146
2020-03-19,495.291619324568
2020-03-20,565.110503007227
2020-03-21,642.60062675614
2020-03-22,727.996204004847
2020-03-23,821.370325981228
2020-03-24,922.599035638225
2020-03-25,1031.33066934969
2020-03-26,1146.96487568822
2020-03-27,1268.64566534564
2020-03-28,1395.27201044203
2020-03-29,1525.52783631689
2020-03-30,1657.93088492246
2020-03-31,1790.89725323083
2020-04-01,1922.81596218257
2020-04-02,2052.12625247408
2020-04-03,2177.38984085512
2020-04-04,2297.35122179596
2020-04-05,2410.98104985675
2020-04-06,2517.50021617524
2020-04-07,2616.38486570017
2020-04-08,2707.35478774087
2020-04-09,2790.34903960024
2020-04-10,2865.49324915479
2020-04-11,2933.0628966417
2020-04-12,2993.4462200193
2020-04-13,3047.10947128056
2020-04-14,3094.56628759686
2020-04-15,3136.3520798581
2020-04-16,3173.00366080273
2020-04-17,3205.04385707669
2020-04-18,3232.97055791389
2020-04-19,3257.24951190488
2020-04-20,3278.31015117065
2020-04-21,3296.54376092158
2020-04-22,3312.30339083332
2020-04-23,3325.90500019624
2020-04-24,3337.62942627364
2020-04-25,3347.72485571848
2020-04-26,3356.40955769319
2020-04-27,3363.87470294326
2020-04-28,3370.28714576379
2020-04-29,3375.79208682943
2020-04-30,3380.5155659326
2020-05-01,3384.56675657104
2020-05-02,3388.04005071733
2020-05-03,3391.01693344912
2020-05-04,3393.56765464733
2020-05-05,3395.75270966869
2020-05-06,3397.62414355077
2020-05-07,3399.22669451282
