A,B
2020-02-24,519.780892481304
2020-02-25,616.238270000273
2020-02-26,730.344134464296
2020-02-27,865.22621249329
2020-02-28,1024.52590025728
2020-02-29,1212.46633416386
2020-03-01,1433.92278119815
2020-03-02,1694.49223491687
2020-03-03,2000.55750956708
2020-03-04,2359.33907077909
2020-03-05,2778.92530168223
2020-03-06,3268.26892463953
2020-03-07,3837.13405282302
2020-03-08,4495.97519971806
2020-03-09,5255.72717061923
2020-03-10,6127.48408453302
2020-03-11,7122.04817617904
2020-03-12,8249.33612125508
2020-03-13,9517.64400632511
2020-03-14,10932.7927441572
2020-03-15,12497.2033371774
2020-03-16,14208.9832030908
2020-03-17,16061.1350632138
2020-03-18,18041.0200403518
2020-03-19,20130.2066814413
2020-03-20,22304.8095175223
2020-03-21,24536.362347992
2020-03-22,26793.1897942872
2020-03-23,29042.152535394
2020-03-24,31250.5693996896
2020-03-25,33388.0836874197
2020-03-26,35428.2524930731
2020-03-27,37349.6929254046
2020-03-28,39136.7017485486
2020-03-29,40779.3526197478
2020-03-30,42273.1473010539
2020-03-31,43618.3415784343
2020-04-01,44819.0806770665
2020-04-02,45882.4681884487
2020-04-03,46817.6663708484
2020-04-04,47635.0937621269
2020-04-05,48345.7557024069
2020-04-06,48960.718861007
2020-04-07,49490.7236943714
2020-04-08,49945.9185330542
2020-04-09,50335.6943301882
2020-04-10,50668.5983463919
2020-04-11,50952.3066853083
2020-04-12,51193.6384494504
2020-04-13,51398.5975407082
2020-04-14,51572.4312814492
2020-04-15,51719.6978155087
2020-04-16,51844.3365587632
2020-04-17,51949.737799356
2020-04-18,52038.8089431825
2020-04-19,52114.0359284407
2020-04-20,52177.539065766
2020-04-21,52231.1230642579
2020-04-22,52276.3213356
2020-04-23,52314.4348748351
